title,year
A Quiet Place,2018
Billions            ,
Siren            ,
Westworld            ,
Grey's Anatomy            ,
This Is Us            ,
Lore            ,
Harry Potter- A History of Magic,2017
Travel Man- 48 Hours in...            ,
The King of Kong- A Fistful of Quarters,2007
Castle            ,
Justified            ,
One Tree Hill            ,
Downton Abbey            ,
Famous in Love            ,
Unforgotten            ,
True Detective            ,
House            ,
Double Date,2017
Ghostland,2018
Veronica,2017
The Nun,2018
Hereditary,2018
First Man,2018
Sgt. Stubby- An American Hero,2018
The 15-17 to Paris,2018
Babylon Berlin            ,
The Second Woman,1950
Secret Beyond the Door...,1947
The Lost Weekend,1945
The Big Heat,1953
The Postman Always Rings Twice,1946
The City and the City            ,
True Blood            ,
American Gods            ,
Shazam!,2019
Cobra Kai            ,
Little House on the Prairie            ,
Fuller House            ,
Full House            ,
The Princess Bride,1987
"Ram Dass, Going Home",2017
All or Nothing- The Michigan Wolverines            ,
Ricky Gervais- Humanity,2018
The Jinx- The Life and Deaths of Robert Durst            ,
Blue Planet II            ,
The World at War            ,
The Problem with Apu,2017
DC's Legends of Tomorrow- Their Time Is Now,2016
Wormwood            ,
Bobby Kennedy for President            ,
Killing Eve            ,
Scandal            ,
The Handmaid's Tale            ,
Altered Carbon            ,
Black Mirror            ,
Midnight Sun,2018
Jersey Shore            ,
The Good Place            ,
Gossip Girl            ,
Disobedience,2017
That '70s Show            ,
Smallville            ,
Pretty Little Liars            ,
Love            ,
Howards End            ,
Two and a Half Men            ,
Orbiter 9,2017
ER            ,
Imposters            ,
The X-Files            ,
Ordeal by Innocence            ,
13 Reasons Why            ,
The 100            ,
The Expanse            ,
Tale of Tales,2015
Z Nation            ,
Unsane,2018
It- Chapter Two,2019
Grimm            ,
Day of the Dead- Bloodline,2018
The Strangers- Prey at Night,2018
Bates Motel            ,
Venom,2018
Halloween,2018
American Horror Story            ,
Ghost Stories,2017
Fear the Walking Dead            ,
Truth or Dare,2018
Jamestown            ,
Rome            ,
Les Misrables,2012
Boardwalk Empire            ,
Deadwood            ,
Poldark            ,
The Tudors            ,
Band of Brothers            ,
The Last Kingdom            ,
"Paul, Apostle of Christ",2018
The Guernsey Literary and Potato Peel Pie Society,2018
The Crown            ,
Chappaquiddick,2017
The Wrong Man,1956
The Lady from Shanghai,1947
The Killers,1946
The Asphalt Jungle,1950
Voice in the Wind,1944
The Strange Love of Martha Ivers,1946
The Petrified Forest,1936
Two O'Clock Courage,1945
The Lineup,1958
The Big Sleep,1946
Crossroads,1942
The Two Mrs. Carrolls,1947
The Third Man,1949
On Dangerous Ground,1951
Lost            ,
Teen Wolf            ,
Outlander            ,
The Originals            ,
The Vampire Diaries            ,
The Magicians            ,
Stranger Things            ,
Fantastic Beasts- The Crimes of Grindelwald,2018
Heartland            ,
Lost in Space            ,
Mary Poppins Returns,2018
I Can Only Imagine,2018
Supernatural            ,
The Walking Dead            ,
Lethal Weapon            ,
The Punisher            ,
Bones            ,
Good Girls            ,
Death in Paradise            ,
The Sopranos            ,
Fargo            ,
Sherlock            ,
Dexter            ,
Prison Break            ,
Sneaky Pete            ,
Bosch            ,
Sons of Anarchy            ,
Trust            ,
How to Get Away with Murder            ,
Blue Bloods            ,
Better Call Saul            ,
After Porn Ends 2,2017
DOPE            ,
The China Hustle,2017
The Bible            ,
Big Time,2017
Hot Girls Wanted,2015
Three Identical Strangers,2018
Take Your Pills,2018
Chef's Table            ,
Dirty Money            ,
Making a Murderer            ,
Planet Earth            ,
Flint Town            ,
Deadliest Catch            ,
Trump- An American Dream            ,
Operation Odessa,2018
"Inside Look- The People v. O.J. Simpson, American Crime Story            ",
Won't You Be My Neighbor?,2018
Pandas,2018
Cosmos- A Spacetime Odyssey            ,
Rapture            ,
One Strange Rock            ,
Faces Places,2017
The Defiant Ones            ,
Do You Trust this Computer?,2018
"Inside Look- The Assassination of Gianni Versace, American Crime Story            ",
Whitney,2018
Planet Earth II            ,
Hilarity for Charity,2018
Andre the Giant,2018
Mercury 13,2018
Generation Wealth,2018
Parks and Recreation            ,
Ash vs Evil Dead            ,
I Feel Pretty,2018
Overboard,2018
The Last Man on Earth            ,
The Sandlot,1993
On My Block            ,
It's Always Sunny in Philadelphia            ,
Mom            ,
The Legend of Korra            ,
Steven Universe            ,
Star Wars- Rebels            ,
Spider-Man- Into the Spider-Verse,2018
Star Trek- Discovery            ,
MacGyver            ,
Jurassic World- Fallen Kingdom,2018
Into the Badlands            ,
Sunset Boulevard,1950
The Americans            ,
NCIS- Los Angeles            ,
Breaking Bad            ,
Peaky Blinders            ,
Law & Order- Special Victims Unit            ,
Lucifer            ,
The Blacklist            ,
Criminal Minds            ,
Riverdale            ,
Wild Wild Country            ,
Will & Grace            ,
Superstore            ,
How I Met Your Mother            ,
Game Night,2018
Barry            ,
Orange Is the New Black            ,
Jane the Virgin            ,
The Goldbergs            ,
iZombie            ,
Modern Family            ,
New Girl            ,
The Big Bang Theory            ,
"Love, Simon",2018
Silicon Valley            ,
Friends            ,
Santa Clarita Diet            ,
Brooklyn Nine-Nine            ,
Atlanta            ,
Roseanne            ,
The Office            ,
Shameless            ,
Roseanne            ,
Suits            ,
Blockers,2018
No Small Parts            ,
The Durrells in Corfu            ,
Alias Grace            ,
Unsolved- The Murders of Tupac and the Notorious B.I.G.            ,
Mary Shelley,2017
Nothing to Lose,2018
Victoria            ,
Mary Queen of Scots,2018
Genius            ,
Versailles            ,
Fighting with My Family,2018
Spartacus- War of the Damned            ,
Bohemian Rhapsody,2018
Borg vs McEnroe,2017
The Irishman,2019
Narcos            ,
American Crime Story            ,
Gravity Falls            ,
Spirited Away,2001
Star vs. the Forces of Evil            ,
American Dad!            ,
Attack on Titan            ,
One Punch Man            ,
BoJack Horseman            ,
Adventure Time            ,
My Hero Academia            ,
Final Space            ,
Big Mouth            ,
Suicide Squad- Hell to Pay,2018
